title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘My experience working at the nab bank was a good and enthusiastic way of working on my social skills as we'll as my communication skills best place to work always good company and goods colleagues to work with.’,Bank Teller,Develop new skills in a different path and achieve a new skill as you go working here is a good place and the best environment I encourage younger and elderly to work here.,You get some challenges as you go but it's normal to do so there re sometime a little things you can and can't understand but I highly recommend this job.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Kalgoorlie, Western Australia, Australia",5.0,3.0,4.0,4.0,5.0,4.0,5.0
‘Enjoyed the team atmosphere’,Lending Officer,"Good working environment, great people, sufficient training, RDOs, reasonable holiday allowances to cover staffing (school holidays, Christmas etc)","In 2013 - Time efficiency, there was plenty of training but don't think it was for me. Found it hard to review files and knowing exactly what to look for and what to dismiss. Worked longer hours than paid due to trying to do everything right the first time.",Recommends working here: Yes,Rates salary as: High,2 years ago,"QLD, Australia",4.0,4.0,4.0,4.0,4.0,5.0,4.0
"‘Great work environment, with flexible work/life options and good bonuses and rewards program.’",Customer Advisor,"Great bonuses, Fantastic work colleagues, good opportunities to further training and career if so inclined, good work/life balance, ability to take career breaks. From speaking with staff from other banks, NAB appears to be the more ethical and staff friendly of the big 4.","A great deal of emphasis is put on sales results, which can be unreasonable at times, particularly in rural branches. demographics don't appear to be taken into account with sales expectations for particular products, either.",Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,4.0,4.0,5.0,5.0,4.0
"‘Working for the nab had been a great experience for me, where I met great people of differing backgrounds. It has financially provided for me and gave me numerous opportunities for advancement. ’",Sales And Service Manager,Great people to work with ,"The company provided training and support so whatever challenges came my way, I was able to face them and finish the job.",Recommends working here: Yes,Rates salary as: Average,6 months ago,"Burwood NSW, Australia",4.0,4.0,4.0,4.0,3.0,4.0,4.0
"‘Rewarding employer if you manage to perform,can handle constantly changing targets and enjoy a challenge otherwise steer clear.’",Business Banking Manager,"Excellent salary and management supportive of work/life balance, provided you perform.","With competitive salary comes expectations of performance which is to be expected. However managements idea of performance often not achievable in a highly competitive market. The bank also appears to have lost its way rewarding long serving staff and acknowledging loyalty and experience. For example, my 20 year anniversary with nab came and went. Later received a cheap signed certificate three months after the fact.",Recommends working here: No,Rates salary as: High,4 years ago,"Port Macquarie, New South Wales, Australia",4.0,3.0,3.0,2.0,2.0,4.0,3.0
‘Incompetent team leader. Most of the staff and upper-management were good but.’,Phone Banker,"As background, it was a contact centre environment - outbound calls mainly. It was good to have a casual wear day every Friday, and also on pay-day on Wednesday, which was fortnightly. The idea of coaching also was valuable. And most of your co-workers will tend to be friendly, understanding, even helpful.","The initial training for the call centre workers should involve both more product knowledge training, and more hands-on work with the actual future managers. Neglecting these can lead to surprises, and frustration down the track: For example, customers wanting more product information, and  neither you nor the manager having much of a clue as to how to help the customer properly achieve their real goals. And some call centre managers are simply incompetent.",Recommends working here: Yes,Rates salary as: Average,3 years ago,"Rhodes, New South Wales, Australia",2.0,3.0,3.0,2.0,3.0,4.0,3.0
‘I would not work for NAB again. It has a long way to go towards rebuilding its reputation.’,Branch Manager,It is difficult to think of anything about working at NAB. The staff were nice but always stressed and did not have time to coach or lead new staff. ,"After the banking inquiry working at NAB is not a good place to work. There is clearly a lean now towards only young staff 18-30 as the NAB thinks they will better at ransitioning customers to cheaper channels to provide (ATM, Internet).  
In the business and agri areas staff were constantly stressed and unable to get back to customers in a timely manner. ",Recommends working here: No,Rates salary as: Average,6 months ago,"Orange NSW, Australia",2.0,1.0,1.0,1.0,3.0,5.0,3.0
‘Fantastic culture and encourage staff to achieve their goals and dreams.’,Lending Specialist,Really good culture! Feel like a family and the management treat everyone fair and equally . There is a huge focus on building strong customer relationships and creating an awesome experience for the customer. Work life balance is pretty good and allways Stevie for people to hit their career goals and progression into new and challenging roles.,Rotating shifts are a challenge not having the stable shifts. The pay is a little lower than other banks but it's cancels it out with the nab culture being more relaxed.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,5.0,3.0,4.0,4.0,4.0
‘NAB has opened up so many doors for me career wise and I could not be prouder to be a part of their amazing team’,Service Team Member,NAB truly believes strongly in ensuring everyone works to their best ability and guides them towards their ultimate career goals. The cultural diversity within the company is amazing and ensures a great work/life balance for its employees.,I don't feel like there are any challanges working with NAB,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Docklands, Victoria, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0
"‘Good company, good culture, good people. Just takes forever to get stuff done.’",Head Of,"Great opportunity to develop careers and expand experiences crossing a number of different Financial Services areas. Good culture, good people on the whole",Really slow to get things done. Sometimes you feel like you are battling the world.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,4.0,3.0,3.0,4.0,3.0
"‘It seemed like a good idea when offered the role, the experience was bad enough to drive me to resign from the Bank and take a completely different career path for 5 years’",Business Banking Partner,"The support for staff was good, the systems were quite good, processes were better than average, portfolio size was good, credit managers were helpful and willing to offer advice.","Training was relatively poor, overall support for new staff was only adequate, sales culture was very intense, management was very sales focused at the expense of many other things",Recommends working here: No,Rates salary as: High,4 years ago,"Ipswich, Queensland, Australia",3.0,4.0,3.0,3.0,5.0,4.0,3.0
"‘Great people, great atmosphere but management culture needs to change.’",Senior Analyst,"Great people, great team dynamic and an increasing focus on flexible work make it a really nice place to work. Middle level managers are typically supportive and understanding. Generally your colleagues are collaborative and genuinely want to drive the company forward.","Many divisional heads and upper level managers have been in the same role for too long and are typically unwilling to change and don't encourage new ideas. Many managers are adamant to pour their resources into dud projects if it was their idea, long after it has lost relevance or feasibility.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",1.0,5.0,4.0,2.0,4.0,4.0,3.0
"‘Great colleague, but poor leadership.’",Business Banking Manager,The people you work with. The feeling of accomplishment when you get to help your customers succeed.,"Poor management, with a culture that targets and ambushes staff. Massive hypocrisy between what management say and what management do.",Recommends working here: No,Rates salary as: Average,4 years ago,,3.0,3.0,4.0,2.0,3.0,3.0,3.0
"‘The good, bad and ugly’",Customer Advisor,"The role always keeps me on my toes, policy changes and process changes make sure that I am consistently learning. Nab engage staff and create competitions between branches to keep staff engaged.
There is always opportunity for advancement.","Targets are a big thing at the NAB, if you work in a major city or a rural area they are the same.
Support from management is lacking as they are currently demoting people and reducing hours as branches don't have the foot traffic as they used to.",Recommends working here: No,Rates salary as: Average,4 years ago,,3.0,3.0,3.0,2.0,4.0,3.0,4.0
‘The talk is talked but the walk isn't always walked in the right direction’,Tech And Operations,"Embracing innovation, looking to the future, diversity pretty well covers all groups of society enterprise wide and is embraced and encouraged. Pockets of great people driving change in challenging environments.",Leaders (middle) not always leading from the front with enthusiasm and a clear path to engage the team to follow. Sometimes seems that messages up the line don't make it through a wall of misinformation and lack of proper accountability for poor leadership behaviour and decision making (or lack of decision making).,Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",3.0,5.0,5.0,2.0,4.0,5.0,3.0
‘My experience with NAB is it seeks to foster a positive working environment for its employees’,Associate,"Career development once you have your foot in the door is available.
NAB supports the community and encourages staff 2 days per year (paid leave) to volunteer in the community.","Challenges involve staff shortages as well as at times insufficient training of staff prior to commencing work. Staff an feel \""thrown in the deep end\""",Recommends working here: Yes,Rates salary as: High,4 years ago,Melbourne,4.0,5.0,4.0,4.0,5.0,5.0,5.0
‘National Australia the place I would like to goback to.’,I Worked In Different Positions But When I Left I Was Apersonal Banker,"I was respected by my colleagues and my managers trusted me .
the perks were good . the morale of the group good and the support form management good",I was  a Personal Banker I processed my work within a policy framework. I exceeded my targets especially as a home loan specialist. My challenge was competing with my colleagues   which I handled.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,4.0,4.0,5.0,5.0,5.0
"‘Largely postive, but you have to be in the right department.’",Customer Contact Centre,"If you're in the right department, there is a lot of support and discussion of career development. There are a lot of other companies that may provide corporate benefits and discounts as well.","The customers are the most challenging aspect. Nobody contacts a bank when things are going well, so customer facing roles can be very difficult.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0
"‘The first day I started work at NAB, I knew I'd made a great decision.’",Market Research Analyst,Lots of support from management and peers. Lots of opportunity to progress. Self development is encouraged. A really nice vibe in the office.,Lots of paperwork and forms and outdated policies.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Docklands, Victoria, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Best job ive worked at so far ’,Service Advisor,Great company to work for. Stable work life. They will try to work around you as much as possible.,Most Shifts are rostered meaning it can be hard if you want to do a course in the afternoon as you can finish anywhere between 4.45-9pm,Recommends working here: Yes,Rates salary as: Average,3 years ago,Rhodes,5.0,5.0,4.0,4.0,5.0,5.0,4.0
‘Great place to work....’,Internet Banking Specialist,"Good working environments and benefits. Good pay, Rostered days off, paid volunteer days. Bonuses and discounts.  Overall a great place to work, but was pretty much all CBD located which became hard for me.",The challenges for me were trying to find a work life balance once I started a family as I found it hard to get to work on time when it was in the city. I found the more interesting jobs were all in the city.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,5.0,4.0,5.0,5.0,4.0
‘Great career advancement opportunities for those that work hard and want to climb.’,Project Analyst/Busisness Analyst,"Career advancement opportunities... and variety of roles/areas to work in.
Focus on improving \""family friendly\"" workplace.","Big Corporate, and like other big corporates has some of the very competitive mentality, so the constant need to improve on the improvement can be tiring after a while.",Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,4.0,3.0,4.0,3.0,4.0,4.0
‘A great organisation to work for and I have nothing by good things to say about them.’,"Manager, FX And Cash Settlements, NAB Asset Servicing","The different departments I worked in at NAB all had a terrific culture.  It was very important to all to work hard but then be rewarded both financially and with regular social events.  NAB were  very supportive of both myself and my family, when I was married.  In particular, NAB supported me above and beyond what you would normally expect of an employer.  In return, I was very loyal, right up until the day I was retrenched.","The same as every other business.  Costs, costs, costs.  This is now having an impact on my ex-colleagues with several now worried for their jobs.  But this is not restricted to just NAB; it's market-wide.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,5.0,4.0,4.0,4.0,4.0,5.0
‘My experience with NAB has been amazing. I  have enjoyed every moment of being here and I still do. Finance department should continue investing in its staff because this will always lead to best services to the end customers and positive outcomes.’,Analyst Financial Control,"Ongoing emphasis on Career development to employees. work life balance encouraged especially  to women who have or no families and even men are allowed to work few days from home. diversity and equal opportunity is one of the key values in NAB, for example, The African Australian Inclusion program which was introduced to help Africans to gain local paid work experience on a 6 months. Its the only company I have seen spending one week of full on training its Finance staff every quatre on different topics that is not work related.","Understanding of the business products that NAB deals with but over time, I have become familiar.",Recommends working here: Yes,Rates salary as: High,4 years ago,"North Sydney, New South Wales, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0
‘Good place to be with meaningful purpose/organisational goal; but old-school thinkings need to be changed.’,Analyst,"We have great purposes from the top, and great sense-making from the ELT.","Middle management is sometimes unbelievably irrational. As well as focus on \""years of experience\"" instead of academic/professional expertises. Well, in this fast moving world, if any organisation fails to follow the tide/trend, i won't be surprised if that organisation declines.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",4.0,4.0,3.0,4.0,4.0,4.0,4.0
"‘Less than average - trying to be \""cool\"", but they're still just a bank with a 20th century culture’",Information Technology Business Analyst,Great people to work with on the ground. Nice buildings. Some interesting projects.,"Totally chaotic environment and unsupportive manage who don't really know what they're doing, who make ad-hoc decisions without thought for the consequences. If you're working on a project, you'll be expected to put in extra hours to make up for inadequate planning.",Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",3.0,2.0,2.0,2.0,3.0,3.0,2.0
‘A enjoyable 5 years in a family-like environment where I was able to contribute and feel valued for my contribution.’,Legal Services Officer (paralegal),"Worked in an internal legal team (servicing the bankers). Professional culture but also relaxed, valuing the individual and work-life balance.","Need to be self-motivated to push yourself to improve and grow, easy to become comfortable.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Docklands VIC, Australia",4.0,5.0,5.0,4.0,4.0,4.0,4.0
‘I have enjoyed working at NAB for over 3 years and I intend on continuing my career in my current branch if I get the opportunity once my contract ends.’,Customer Advisor,'Starrewards' and recognition programs which is pretty much awarded to you for doing your job well.,Sales Expectations. Annual Leave must be all used and booked in up to 12 months in advance. Transferring from one branch to another is not an easy process and you are subjected to the same recruitment process whether internal or not.,Recommends working here: Yes,Rates salary as: Average,3 years ago,,3.0,3.0,3.0,3.0,4.0,3.0,3.0
‘It has been great working experience with valuable lessons.’,Compliance Officer,NAB providers great support for work life balance and work flexibility that makes it easier for employees to lead our life. Also we are given great support and guidance for self development and career orientation.,I am currently temping and it's been very hard to get a chance to become permanent. Any permanent position advertised is extremely competitive.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",3.0,5.0,5.0,3.0,3.0,5.0,4.0
"‘I was grateful the nab wanted me 15 years ago and now the nab is grateful for my knowledge, gravitas and service’",Head Of 'a Portfolio',"Diversity of thought/style/capability and Inclusion, career planning/development/opportunities, environment, flexibility, pride",The usual white collar woes - it is what it is - a big 4 bank steeped in history,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Best Bank to work in for any entry level role’,Collections Officer,"Meeting new people, always so much support even after training, the manager team members are the best. I've never loved a job so much. The hours are so flexible and you can really tailor it to your life.","You don't get a contract with the company straight away, there is a wait time.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Docklands, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘A charictor building and rewarding experience’,Associate,"Great team, intuitive management. Respect for diversity. Freedom to work autonomously.",Large stock market is a heavily regulated industry that requires continuous learning,Recommends working here: Yes,Rates salary as: High,2 years ago,"North Sydney, New South Wales, Australia",5.0,5.0,5.0,5.0,3.0,5.0,5.0
"‘I had 35 wonderful years working across the globe for the NAB group, made numerous friends and don't for one minute regret the experience.’",Head Of Group Credit Assurance,A well run organisation which generally looks after its people. Honest and collegiate atmosphere with good culture. Great opportunities to work across a wide range of areas/divisions.,"At times, too much emphasis placed on bottom line results with little thought given to the impact such has on individuals (eg forced redundancies and lack of trained staff). As with the broader banking industry, needs to continue work in building trust in the general community.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",5.0,3.0,5.0,4.0,3.0,4.0,5.0
‘Absolutely love working for NAB!’,Home Loan Customer Service Specialist,Great work life balance and a great environment to work in. Everyone is so friendly and always willing to give a helping hand when needed,Frustrated customers who take out their anger at you over the phone,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Loved the buzz. Loved the opportunities. Being a natural workaholic took its toll - not NAB's fault...mine!’,Senior Communications Adviser,Always opportunities to develop if you are confident in pursuing them. Great physical work environment at 700 Bourke St. Great people leader initiatives to equip leaders such as a NAB wide newsletter.,"In business and technology transformation programs the deadlines and demands on staff are significant, including weekend shift work. Not suitable for raising families. As a woman over 40 who was happy to specialise and intentionally not manage a team (introvert with strong, valuable specialist skills), there was a strong drive to take on management roles...part of addressing gender equality. Some people can truly add significant business balue without managing people.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Docklands, Victoria, Australia",4.0,3.0,4.0,4.0,4.0,4.0,4.0
"‘With political care and much patience, I enjoyed working with and learning from lots of great people, and being able to make a modest difference.’",Business Improvement,"Fantastic employment conditions - work flexibility, pay, accommodating family obligations, mat leave, etc.  Also has many really good, very professional people, partic at 'Head of' and GM level.","So much potential, but so unbelievably frustrating.  No approach for managing and utilising the fantastic skills and experience embedded throughout the organisation.  Huge waste caused by a highly political and self-serving leadership environment, constant re-structuring and retrenching, and then subsequently rehiring the same capabilities.  No recognition of the value of refining and developing what is there, just constantly looking outside for the elusive magic solution.",Recommends working here: Yes,Rates salary as: High,2 years ago,"Melbourne, Victoria, Australia",2.0,3.0,3.0,2.0,5.0,4.0,3.0
‘One of the best jobs in a long career of ups and downs.’,IT Security DevOps Specialist,"This team is not typical of your average area within NAB (nor most other corporations). It's closer to a Tiger Team environment, bringing rapid response DevOps approaches to a security environment. It's one of the most hard-hitting yet interesting work environments I've experienced in a long career. The whole environment is made up of fun nerds and geeks who truly enjoy working with each other.",Please note that the categories I rated low are because I contract and am therefore excluded from these areas. As I understand they aren't bad for actual employees.,Recommends working here: Yes,Rates salary as: High,3 years ago,"East Melbourne, Victoria, Australia",2.0,5.0,5.0,5.0,2.0,5.0,5.0
‘Survival of the fittest ’,Business Analyst,"Worked with an amazing team, very supportive, flexible working conditions. Some great benefits and a really great volunteer program to give back to the community ","Office politics, career advancement mostly due to who you know, rather than experience. So many layers in management structure, roles created out of thin air by some managers left those with genuine drive and experience, losing out to external hires.  ",Recommends working here: Yes,Rates salary as: Average,9 months ago,"Docklands VIC, Australia",3.0,4.0,4.0,3.0,4.0,2.0,3.0
"‘Loved working for the company, I worked with a great team and it never felt like work really.’",Customer Advisor,"Great work life balance, most days your finished by 4:30! Very retail based and great incentives and team activities.",The sales leads are a little tricky at times.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",3.0,5.0,4.0,4.0,4.0,5.0,3.0
‘Hard work but a career worth pursuing’,Branch Manager,"Hi staff engagement, hi staff enablement. Room to develop your skill set and  be promoted through the ranks . Availability to work in Business , Retail , Corporate etc so lots of career diversity available",Meeting the unrealistic kpi targets. Nab has tunnel vision and almost encourage a sales environment that at times may not be beneficial to customers,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,4.0,4.0,4.0,3.0,5.0,4.0
‘Terrible organisation to work for. Run by stealth and people only worried about their own bonuses as opposed to the customers. Be out as soon as I find something else. ’,Business Banking,Very little. cannot think of one good thing off the top of my head. ,Everything is a challenge due to poor systems and lack of staff,Recommends working here: No,Rates salary as: Average,1 year ago,"NSW, Australia",1.0,1.0,1.0,1.0,2.0,1.0,1.0
"‘Initially loved my career choice however due to changing culture that doesnt align with my own values of honesty, transparency & integrity, I decided it was time to move on.’",Banking Advisor,Helping customers achieve their goals is very rewarding.,Ambitious colleagues undermine and take credit for your ideas and work. The culture is highly competitive and while teamwork is the mantra very few within the organisation practise this.,Recommends working here: No,Rates salary as: Average,2 years ago,"QLD, Australia",5.0,2.0,3.0,2.0,4.0,2.0,3.0
‘NAB today is far different from I first started working for them 23 years ago.’,Branch Manager,Good training & educational courses provided ,"Unrealistic targeted expectations, having to constantly work longer hours without being paid for the extra time.",Recommends working here: Yes,Rates salary as: High,3 months ago,"Perth WA, Australia",4.0,2.0,3.0,3.0,4.0,4.0,3.0
‘Very positive and the only reason I left was because my role was specifically focused on General Insurance and there wasn't a lot of career development opportunities unless you had a banking background’,"Manager, General Insurance","Cohesive culture. Everyone was clear about what our objectives were, and strategies to implement to get there. Management put a lot of effort and went to great expense to ensure staff had the opportunity to bond, and work together as a team.","The targets in place were a stretch and almost out of reach in many cases, due to circumstances beyond the control of staff",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",3.0,3.0,4.0,4.0,4.0,4.0,4.0
‘A year or so out of my life!’,Senior Partner,The redundancy package after the 3rd restructure of my 15 month employment,"Restructure after restructure, poor senior leadership, lack of direction, low morale, ancient systems, poor processes, enterprise behaviours policy used as a tool to oppress rather than a standard to attain",Recommends working here: No,Rates salary as: Average,4 years ago,"St Leonards, New South Wales, Australia",3.0,2.0,2.0,1.0,3.0,3.0,2.0
‘I had a great experience developing relationships with customers and work colleagues and building experience in banking’,Customer Advisor,Supportive and happy working environment. Meeting new customers from all walks of life and building bonds with regulars. Feeling satisfied when meeting the customers needs etc,Having to meet monthly targets but with practice and experience becomes easy.. having to satisfy the needs of every customer can often be a challenge but you get there in the end.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Ballina, New South Wales, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0
‘No regrets about working at NAB but wouldn't choose to work there again’,Senior Financial Planner,"Flexibility (provided targets are hit)
Remuneration (once targets are hit)
CSO & paraplanning support
Working with & training branch staff","Lack of training on job specific tasks & systems
Big focus on 'managers targets' so they validate
Big difference between bankers & commercial planners to retail planners
Constant change of management
Constant change of targets & roles
Confusing scorecard & questionable targets
'Background' & 'shadow' targets",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Hobart, Tasmania, Australia",2.0,4.0,2.0,2.0,2.0,4.0,3.0
‘Fake it till you make it!’,Anon,"Excellent team culture, fantastic energy, and plenty of opportunities to progress.  Excellent staff in general.","Inconsistency in procedures, lack of general knowledge due to under-developed training processes, and an unfortunate sink-or-swim attitude which impacts on work/life balance.",Recommends working here: Yes,Rates salary as: Average,4 years ago,Australia,5.0,2.0,3.0,3.0,5.0,5.0,4.0
‘My Training at NAB went a long way.’,Home Loan Banker,So much room to move career wise. Nab invest a lot in putting employees through training & great workshop sessions to continuously keep them up skilled.,"Strict policies, and a lot of policies to remember. Always busy & can be stressful. Working well under constant pressure is a MUST.",Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,3.0,4.0,3.0,5.0,5.0,4.0
‘Only work here if you want to look good to future employers’,Customer Service Officer,"I worked in the customer service centre. Training was great, and colleagues were all fantastic. The best thing though, was probably that working at NAB made me more appealing to other employers.","- Didn't actually know what the job was until my first day
- Constantly changing shifts. You're meant to know your shift a month ahead, but shifts have been known to change within 48 hours notice 
- Miscommunication about shifts in application and interview stage 
- Opportunities to move up in the ranks only available if you want to become a team leader 
- Micromanagement of breaks
- The need to get to work and set up the computer 15 - 30 minutes before start time to avoid being \""late\"" (with no overtime pay)",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,1.0,4.0,3.0,5.0,4.0,2.0
