title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating
‘I hated it.’,Manager,"Work life balance was great, this was always necessary because the type of work you do can be very stressful ",The kinds of projects can be challenging and not the kind of work i enjoy.  A lot of the work was document jocky work with no real thoughts required ,Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",4.0,5.0,3.0,3.0,3.0,4.0,2.0
‘Never the smartest person in the room and always challenged and encouraged to bring your best.’,National Strategic Account Manager,"Great culture, innovative, global exposure, great brand and strong market eminence. The best thing about Deloitte is the empower and trust culture and the ability to own work and work autonomously.",In some cases the amount of processes can be a hindrance.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,4.0,5.0,4.0,3.0,4.0,4.0
‘Only interested in the money - billing clients’,Manager,"Nice offices, good social functions","Only focus on staff who make them money and you have to almost beg to get basic working tools
Very hierarchic .... no one is better than anyone else..except Deloitte where the partners think they are better than anyone else..such egos! ",Recommends working here: No,Rates salary as: Average,3 months ago,Australia,1.0,3.0,3.0,1.0,2.0,1.0,2.0
‘Life at Deloitte’,Director,Interesting work. Great people.,Lack of bonus and other financial incentives while long hours and stretch targets are often the norm.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"Sydney, New South Wales, Australia",4.0,3.0,4.0,4.0,2.0,5.0,4.0
‘The brand name was not really worth it.’,Business Analyst,The challenges and that's about it,Management and reward for hard work. Negotiation to wage is like asking for fire to burn under water.,Recommends working here: No,Rates salary as: Low,2 years ago,"Parramatta, New South Wales, Australia",4.0,1.0,2.0,1.0,1.0,3.0,1.0
‘Worthwhile but not a long term proposition’,Senior Consultant,Exposure to high quality clients and methodology,Too much focused on utilisation; generally management not great,Recommends working here: No,Rates salary as: Average,3 months ago,"Sydney NSW, Australia",3.0,3.0,3.0,3.0,3.0,3.0,3.0
‘A great and varied place to work that rewards employees.’,Senior Consultant,"Good culture, good remuneration, opportunities for development.",The challenge for me was that the work was too intermittent (as I worked in an area that focused on transactions) and as such did not have much to do with how good Deloitte was,Recommends working here: Yes,Rates salary as: High,4 years ago,"Sydney, New South Wales, Australia",3.0,4.0,4.0,3.0,3.0,4.0,4.0
‘Good supportive company to work for overall’,Manager,Flexibility and mobility,Poor benefits and perks,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,4.0,4.0,1.0,4.0,4.0
‘Really bad’,Audit Director,Nothing was good at the workplace,Poor culture and lack of professionalism ,Recommends working here: No,Rates salary as: Low,3 months ago,"Sydney NSW, Australia",1.0,1.0,1.0,1.0,1.0,1.0,1.0
‘An amazing place to work culturally and develop skills ’,Resource Manager,The culture is fantastic and the best I have experienced ,Salary & career progression ,Recommends working here: Yes,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",3.0,5.0,5.0,4.0,3.0,5.0,4.0
‘Good to start your career ’,Consulting Department,"Good work life balance, great training opportunities. Good and supportive team ",Salary not at par with industry standards. No bonus. ,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne VIC, Australia",3.0,4.0,4.0,3.0,3.0,4.0,4.0
‘Good place to start accounting career.’,Managerial,Opportunity to grow in the profession. Learn a lot.,Long work hours at work.,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,3.0,3.0,4.0,3.0,4.0,4.0
‘Deloitte was my best employer’,Consulting Manager,"Very vibrant atmosphere, packed of talented people in many disciplinary, big projects, exposure to recognisable brands and clients",Client expectation is high,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0
‘A dynamic environment for those who like fast paced work’,Senior Consultant,Culture,Work life balance,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,1.0,4.0,5.0,3.0,5.0,3.0
"‘Love it, would recommend it to my own mother’",Director,Challenging projects,Clients expectations,Recommends working here: Yes,Rates salary as: High,4 years ago,"Parramatta, New South Wales, Australia",5.0,4.0,5.0,5.0,4.0,5.0,5.0
"‘Great Experience, would recommend to anyone who wants to challenge themselves and push their career’",Manager,"Great environment with smart motivated people. 
Focused on personal and career development.","Very high expectation environment, not everyone will feel comfortable in the role",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",5.0,4.0,4.0,5.0,3.0,4.0,5.0
‘An ok place to work’,Cloud Engineer,Exposure to a lot of different clients,Growth within service lines is challenging,Recommends working here: Yes,Rates salary as: Low,1 year ago,Australia,3.0,4.0,3.0,2.0,3.0,3.0,3.0
"‘Good experience, and you can learn a lot of IT and healthy insurance knowledege’",Test Automation Analyst,"Very challenge, but equal opportunity.",Sometimes you have to work extra,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"‘Great times, lots of work and very satisfied clients’",Manager,People and experiences,Expectations and intensity,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,4.0,4.0,3.0,4.0,5.0
‘A heirachial pyramid structure where they are only interested in revenue - sales and utilisation - very little interest in cusomer’,Director,External people still value the brand,Old school partners who have never actually done it. A kindergarten for grads with massive turnover - do not care about people just money,Recommends working here: No,Rates salary as: Low,2 years ago,Australia,1.0,1.0,1.0,1.0,1.0,2.0,1.0
‘Good to have the name on resume.’,Senior Consultant,Opportunity to work on large engagements.,"Plenty of office politics, tough to survive if trash talk is not a skill you hone.",Recommends working here: No,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",2.0,3.0,1.0,1.0,1.0,1.0,1.0
‘Join if you want to experience major changes that frustrates you yearly ’,Senior,"Friendly people
Nice office view","The benefit/remuneration is hopeless...
Totally unable to retain talent at all...
Want work-life balance? Forget it... 
Dog-eat-dog kind of environment
Management cares about their own pocket more than anything",Recommends working here: No,Rates salary as: Low,3 months ago,"Sydney NSW, Australia",3.0,1.0,1.0,1.0,1.0,2.0,1.0
‘Worked with amazing and inspiring people.’,Senior Manager,Working with incredibly smart people ,Difficult to influence change in the organisation ,Recommends working here: Yes,Rates salary as: High,1 year ago,"Sydney NSW, Australia",4.0,4.0,5.0,5.0,5.0,5.0,5.0
‘Enjoyable environment with lots of opportunities.’,Manager,"Positive atmosphere, flexible work arrangements.",Surprisingly low degree of office automation.,Recommends working here: Yes,Rates salary as: Average,6 months ago,"Melbourne City, VIC, Australia",5.0,5.0,3.0,4.0,2.0,5.0,4.0
‘Worst place I have ever worked in with really few interesting engagements.’,Manager,Office is OK and will provide you with good tools to work.,"Very bad culture and really poor management in some departments/clusters. High turnover, no consideration at all for employees.",Recommends working here: No,Rates salary as: Low,4 years ago,"Sydney, Nouvelle Galles du Sud, Australie",3.0,3.0,1.0,1.0,1.0,4.0,1.0
‘Great place to start career’,Manager,"Brand, dynamic, changing, multiple opportunities",Too much work. Always short on staff. No bonuses. Timesheets,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",5.0,2.0,5.0,4.0,3.0,5.0,4.0
‘Good learning experience’,Analyst,"The people, study support, challenging, steady career path",Not enough pay for what is expected,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",4.0,3.0,3.0,4.0,4.0,5.0,3.0
‘Good experience for a period of 2-3 years.’,EA Manager,Open and clear communication,Too much travelling and quite a few times able to work outside your expertise area,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,3.0,4.0,5.0,4.0,5.0,4.0
‘All about clients perception’,Administration Support Officer,Flexible hours,Not getting rewarded,Recommends working here: No,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",2.0,4.0,3.0,1.0,1.0,4.0,2.0
‘Great to lay a strong foundation’,Senior Manager,Interesting and diverse work experience,Work life balance and salary,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",5.0,3.0,4.0,4.0,2.0,5.0,4.0
‘Great to lay a strong foundation’,Senior Manager,Interesting and diverse work experience,Work life balance and salary,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Sydney, New South Wales, Australia",5.0,3.0,4.0,4.0,2.0,5.0,4.0
‘Better than other companies but not the best... slowly getting there though’,Executive Assistant,Changes constantly to try to make this better,No voice if things change or happen it comes from above,Recommends working here: Yes,Rates salary as: Average,3 months ago,"Sydney NSW, Australia",3.0,5.0,4.0,4.0,3.0,4.0,4.0
"‘A challenging place to work that suits only the most driven people, with a culture that is sometimes at odds with its values. ’",Consultant,Diversity of projects and industry exposure. ,Political culture. Perceptions of work life balance at odds with performance measures. ,Recommends working here: No,Rates salary as: Average,3 months ago,Australia,4.0,2.0,3.0,3.0,3.0,4.0,3.0
"‘Met some great people, but didn't get the opportunities to grow’",Senior Manager,Some great partners. Good vibe amongs colleagues. Easy access from public transport.,"Lack of training. No support on some jobs, and some managers being inexperienced didn't know how to deal with normal problems encountered in consulting",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Perth, Western Australia, Australia",2.0,2.0,3.0,3.0,2.0,3.0,3.0
"‘Long hours, shocking pay, but make some friends for life because of it.’",Deloitte Private,"Lots of work to be involved in, opportunity to meet good people","You are just a number, work hard for nothing, no purpose except lining the partners pockets",Recommends working here: No,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",3.0,1.0,2.0,1.0,1.0,3.0,2.0
‘Great but could be better’,Analyst,Opportunities to know different people from different companies,Hardly able to do what you like. ,Recommends working here: Yes,Rates salary as: Low,6 months ago,"Melbourne VIC, Australia",5.0,3.0,4.0,1.0,3.0,5.0,3.0
‘Good development ’,Marketing Role,Culture and environment ,Each team is unique ,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Sydney NSW, Australia",4.0,3.0,4.0,3.0,4.0,4.0,4.0
‘Overworked but cared for.’,Consultant,"The company treates you well, they genuinely care about what you learn and take care of you.","Too many hours, unfair work life balance and bad ratings without reasonable explanations.",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,1.0,5.0,1.0,3.0,5.0,5.0
‘Average’,Remediation Analyst,Work location and environment,Work process and procedures not well defined. No proper project planning. Limited staff communication. Unfair work practices. ,Recommends working here: No,Rates salary as: Average,6 months ago,"Macquarie Park NSW, Australia",2.0,1.0,3.0,1.0,1.0,2.0,2.0
‘A pleasant place to work.’,Research Fellow,"Friendly and exciting working environment, good place to learn new things. ",Not enough research positions for the post-graduated researchers.,Recommends working here: Yes,Rates salary as: Average,1 year ago,"St Lucia QLD, Australia",3.0,2.0,5.0,4.0,3.0,5.0,4.0
‘Supported and encouraged to progress.’,Senior Consultant.,Opportunity to progress career rapidly.,Working autonomously quite early on. Management are sometimes preoccupied with their own agendas.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,3.0,4.0,5.0,5.0,5.0
‘Priceless’,Director,"Great mentors,  and opportunities for anyone willing to seize them.",Pressure on fees and for growth.,Recommends working here: Yes,Rates salary as: High,4 years ago,"Melbourne, Victoria, Australia",5.0,4.0,5.0,4.0,4.0,5.0,4.0
‘Nice to have the Brand name on your resume. Thats all !’,Senior Analyst,Overall ambiance of office.,"Its just another consulting firm. You never know when the partner is going to resign !

Also, the culture kind of gave importance to individual than a collective team growth.",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Canberra, Australian Capital Territory, Australia",3.0,3.0,4.0,2.0,2.0,4.0,3.0
‘Learning experience ’,Senior Business Intelligence Consultant,Great exposure to a number of technologies,Work and social culture needs to improve,Recommends working here: Yes,Rates salary as: Average,9 months ago,"Sydney NSW, Australia",4.0,2.0,4.0,3.0,3.0,4.0,4.0
‘There to get the job done.’,Deloitte Private,Very big company with massive reputation and brand,Unable to be innovative and different.,Recommends working here: No,Rates salary as: Low,3 years ago,Sydney,1.0,1.0,1.0,1.0,3.0,2.0,1.0
‘Hard work / is not recognised but just expected’,Administrative Assistant,"Worklife balance , breakfast/fruits provided everyday",No support /limited training for admin staff / long term staff get away with almost everything,Recommends working here: No,Rates salary as: Low,1 year ago,"Brisbane, Division of Brisbane QLD, Australia",4.0,3.0,2.0,2.0,3.0,4.0,3.0
‘Wonderful. Tremendous learning opportunities with great peers.’,Consultant,"Work culture, people",Work-life balance. Lots of work.,Recommends working here: Yes,Rates salary as: Average,3 months ago,Australia,5.0,4.0,5.0,4.0,4.0,4.0,4.0
‘Delotte: nothing special’,Business Analyst,Diversity and equal opportunity,"If you don't lure yourself to the people who have power, you're not valued no matter how good/professional you are",Recommends working here: No,Rates salary as: Average,4 years ago,,1.0,3.0,3.0,2.0,1.0,4.0,3.0
‘Great learning curve plus good on the resume’,Senior Analyst,The People is the best part of the job,The Pay is very poor.,Recommends working here: Yes,Rates salary as: Low,3 years ago,,5.0,2.0,5.0,4.0,4.0,4.0,4.0
‘It's like you start at a fantastic new organisation at each new engagement and don't want to leave.’,Senior Client Manager,Culture and breadth of opportunities and client experiences,Working hours and balancing the challenges of home life,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,5.0,5.0,5.0,3.0,5.0,5.0
"‘If you can go to other big 4, try them first ’",Audit Manager,Opportunities to grow,"Toxic culture, unclear promotion guidelines, biased treatment",Recommends working here: No,Rates salary as: Low,3 months ago,"Sydney NSW, Australia",4.0,2.0,1.0,1.0,1.0,4.0,2.0
‘Emphasis on Graduate sector and missing the mark on mature workforce’,Insolvency Administrator,"Collaboration 
  Perhaps not enough credit to mature workforce",Too focussed on Graduates,Recommends working here: Yes,Rates salary as: Average,2 years ago,"VIC, Australia",4.0,3.0,4.0,3.0,3.0,5.0,5.0
‘Overall very positive’,Senior Manager,Culture is really positive and mainly supportive. ,Churning clients to meet KPI's,Recommends working here: Yes,Rates salary as: High,1 year ago,"Perth WA, Australia",5.0,3.0,4.0,4.0,4.0,4.0,4.0
‘Great place to develop!’,Senior Analyst,Endless opportunities and great company culture in A&A.,Too many opportunities  and very long hours. Work life balance is difficult,Recommends working here: Yes,Rates salary as: Low,3 years ago,"Sydney, New South Wales, Australia",5.0,2.0,4.0,4.0,2.0,4.0,4.0
‘An enjoyable experience to have while I'm young and willing to challenge myself’,Analyst,The culture of the firm,"Low pay, tough working hours",Recommends working here: No,Rates salary as: Low,4 years ago,,4.0,2.0,3.0,3.0,4.0,4.0,3.0
"‘Great for the resume, seek out opportunities to expand your experience and then move’",Manager,"Great colleagues, exposure to good projects, a well known brand to have on your resume",Some well respected partners in the firm although a large proportion who are more interested in their pay packet than the work or developing the capabilities of others,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Melbourne, Victoria, Australia",3.0,2.0,3.0,2.0,4.0,4.0,3.0
‘The best kick start to you career’,Senior Consultant,Career growth and development,Risk of burn-out and low salary when compared to industry based roles,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Melbourne, Victoria, Australia",4.0,3.0,4.0,4.0,4.0,3.0,4.0
‘Once in a lifetime experience’,Senior Analyst Developer,The best place to enjoy work and food.,No challenges. The company arranges sessions for career growth.,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,4.0,4.0,4.0,4.0,4.0,5.0
‘Awesome experience’,Manager - Cyber Security Protection,Opportunities for career development,Challenges are only for those who dont like Client facing role,Recommends working here: Yes,Rates salary as: Average,3 years ago,,5.0,5.0,4.0,5.0,3.0,5.0,5.0
‘Great diversity in the type of work’,Manager,Great team and great Partners,Managing multiple client commitments,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,4.0,5.0,5.0,4.0,5.0,5.0
‘Challenging but amazing for personal growth.’,Manager,"Some clients, learning, smart passionate people","Pace, balance, some clients",Recommends working here: Yes,Rates salary as: Average,3 months ago,"Melbourne VIC, Australia",5.0,2.0,3.0,4.0,4.0,5.0,4.0
‘Interesting’,Director,"Diversity , amenities, environment","Opportunity, career progression",Recommends working here: Yes,Rates salary as: Average,4 years ago,,3.0,2.0,4.0,3.0,3.0,4.0,3.0
"‘Fantastic job, I wish I never left..’",National Audio Visual Manager,"Great environment, working with the equipment I love",1 person trying to run a national environment,Recommends working here: Yes,Rates salary as: High,4 years ago,Sydney and Canberra,4.0,4.0,5.0,4.0,5.0,5.0,5.0
‘It was horrible. Eight months i will never get back. Do not work here. ’,Executive Assistant,High pressure work experience ,Work life balance. There was none. ,Recommends working here: No,Rates salary as: Low,6 months ago,"Melbourne VIC, Australia",1.0,1.0,2.0,1.0,1.0,1.0,1.0
‘Deloitte is a great team environment’,Client Team Administrator,"The team environment
Flexibility to work from home when required","Personal development
Salary",Recommends working here: Yes,Rates salary as: Low,4 years ago,"Brisbane, Queensland, Australia",3.0,4.0,3.0,3.0,2.0,3.0,4.0
‘My tenure at Deloitte gave me al lround good experience that is a good addition to my vast accounting experinence that i already possess.’,Business Finance Accountant,A world brand therefore a good addition to your resume,Survival if you aren't a mate for few who can influence. The staff turn over seems to be little high.,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Sydney, New South Wales, Australia",3.0,5.0,5.0,4.0,5.0,2.0,5.0
‘It is a mix of pros and cons’,Experienced Analyst,Some opportunities to learn from different engagements and there are some good people around which made the working environment enjoyable,Favouritism which limits opportunities for career development,Recommends working here: Yes,Rates salary as: Low,4 years ago,"Perth, Western Australia, Australia",4.0,3.0,3.0,2.0,4.0,3.0,3.0
‘A great place to develop and grow and gain valuable experience’,Manager,Working on exciting projects for big Australian companies. This exposure in conjunction with working with great people really helps me to grow too.,Sometimes the projects are busy and quite demanding.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",5.0,3.0,4.0,4.0,3.0,5.0,4.0
"‘Wasn’t what was described, slow and stagnant. Management are realistic and aware of employee wants. Communication and engagement is poor, leaving teams disengaged. No incentive plans or recognition.’",Consultant,"Brand name, reputation and delivery to clients is strong for the market.","Passively political, slow in making decisions and lacks organization and lacks in employee engagement and empowerment.",Recommends working here: No,Rates salary as: Low,6 months ago,"Sydney NSW, Australia",3.0,2.0,3.0,2.0,1.0,3.0,2.0
‘Supportive people. Great work!’,Manager,"The people and work. It is fun, everyone is doing interesting work, people talk to you if you are new. The Canberra team is growing fast, there is lots of work which means there are lots of opportunities to development your career. I can work from home if I have to which means I can balance work and family.",Technology occasionally - the system can't keep up on the odd day.,Recommends working here: Yes,Rates salary as: Average,3 years ago,"Canberra, Australian Capital Territory, Australia",4.0,4.0,5.0,4.0,3.0,4.0,4.0
‘Constantly anxious’,Office Services,"Friendly staff, free breakfast, office yoga sessions, the ability to learn how an office services role eotkd.",The whole job was a challenge. No matter how hard you try it was never good enough. If you're an introvert then look for a different company as they don't understand how they work.,Recommends working here: No,Rates salary as: Low,1 year ago,"South Australia, Australia",1.0,1.0,2.0,1.0,3.0,1.0,1.0
‘It's ok but better to spend your working life somewhere else’,Senior Consultant,"Nice offices, plenty of training, flexible working arrangements","Low pay, minimal possibilities for career progression. This is best suited for graduates out of uni and make a career at the company but lateral hires will have to wait ages to get their skills recognised, have a promotion or get a raise.",Recommends working here: No,Rates salary as: Low,6 months ago,"Brisbane QLD, Australia",2.0,4.0,3.0,2.0,2.0,2.0,3.0
"‘Great for young talent, not so much for experienced hires’",Manager - Consulting,"Good brand to have under your belt. A lot of young talent - their graduate program is the main wait in, and some graduates end up building a solid career with the firm.","Not really a good place for lateral industry hires. Lack of bonus incentives and performance reviews heavily focused on utilisation and revenue. Despite the global presence, there is very little opportunity to work with international teams. No real sense of a team when you are stuck on a client site on your own. No real support for senior career development - you're expected to come in and drive your own sales, generate your own pipeline, manage your own accounts, even if you're not interested in sales or account management.",Recommends working here: No,Rates salary as: Average,2 years ago,"Melbourne VIC, Australia",1.0,4.0,4.0,2.0,1.0,4.0,3.0
"‘Leaderships complete lack of respect for support staff, greedy, cost cutting.’",Staff Member,"Fantastic fellow staff to work with, large enough place to find other opportunities","Culture over the last 2 years is terrible, since the new CEO and his ELT came on board, genuine focus on 'people' has dissapeared. Complete lack of respect for support staff, greedy, cost cutting. Partners think they are better than everyone else.",Recommends working here: No,Rates salary as: Average,3 months ago,"Sydney NSW, Australia",2.0,2.0,1.0,1.0,2.0,2.0,1.0
‘Consulting at Deloitte is a roller coaster. I like roller coasters. ’,Senior Consultant,"If you are willing to put in the work the sky is the limit
Great people, great culture
Shapes you to be a competent employee","Long hours
Lack of focused career development 
The project will always get done but a few people may get chewed up in the process
",Recommends working here: Yes,Rates salary as: Low,3 months ago,"Brisbane QLD, Australia",5.0,4.0,5.0,4.0,4.0,5.0,5.0
‘Just don't’,Senior,Not much. Worst place I have ever worked,"Short staffed, unrealistic budgets",Recommends working here: No,Rates salary as: Low,4 years ago,Perth,2.0,2.0,2.0,1.0,2.0,3.0,2.0
‘I do enjoy working here any way.’,Analyst,Nice colleages and flexibility.,"It might be due to its size, not really organized.",Recommends working here: Yes,Rates salary as: Low,6 months ago,"Melbourne VIC, Australia",4.0,5.0,5.0,3.0,3.0,4.0,4.0
‘Live it and love it and you'll succeed’,Manager,Make things happen in a timely manner. Love and value new ifeas,Volume and pace so much happening sometimes need to manage time and prioritise accordingly,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",3.0,3.0,3.0,3.0,2.0,3.0,3.0
‘One of the worst places I have ever worked.’,Consultant Manager,I failed to find anything good or worthwhile about my experience at Deloitte.,"Management does not listen to your issues. Worklife balance simply doesn't exist, if you do not want to travel or do not want a particular assignment then you are threatened with job security.",Recommends working here: No,Rates salary as: Average,1 year ago,"Melbourne VIC, Australia",2.0,1.0,1.0,1.0,1.0,1.0,1.0
‘Good for base of career but that's it’,Director,"Young crowd here
Teamwork 
Learn great base accounting skills
Get to work on a variety of businesses","No future
Accounting Professional services is a commodity",Recommends working here: No,Rates salary as: Low,2 years ago,"Sydney, New South Wales, Australia",1.0,1.0,3.0,2.0,1.0,4.0,1.0
‘Could have been better.’,Director,Brand of company on CV,"Senior management, remuneration, diversity.",Recommends working here: No,Rates salary as: Low,2 years ago,"Brisbane, Queensland, Australia",4.0,3.0,3.0,2.0,2.0,2.0,3.0
‘My experience so far has been the greatest of my career to date and the level of integrity and motivation and the feeling that I am valued is unsurpassed.’,Analyst,Our values and vision- our collaboration between people is fantastic,The only challenge I face is personally wanting to upskill because I am inspired by the talent that surrounds me,Recommends working here: Yes,Rates salary as: High,3 months ago,"New South Wales, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0
‘Very challenging and fulfilling experience’,Consultant,"Management, Work Culture",Work Life balance,Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,3.0,5.0,5.0,5.0,5.0,5.0
‘No work life balance!’,External Auditor,The opportunity to develop meaningful relationships.,Management are not always aware what is happening in the levels below them and not trying to understand either. They let their biases cloud their judgement rather than really understand.,Recommends working here: No,Rates salary as: Low,3 months ago,"Adelaide SA, Australia",4.0,1.0,3.0,1.0,2.0,5.0,3.0
‘A bit disappointing ’,Human Resources Role,Brand name for future opportunities ,Career opportunities ,Recommends working here: Yes,Rates salary as: Low,6 months ago,"Melbourne Victoria, Australie",3.0,4.0,3.0,2.0,2.0,5.0,3.0
‘Travelling long term for projects ruin you ’,Consultant,Lots of projects but no choice of which you get to be on,"Got told that travelling to other states to billable is ruining my promotion chances, didn’t help that they forced me into another long term interstate project",Recommends working here: No,Rates salary as: Low,3 months ago,Australia,1.0,1.0,2.0,1.0,1.0,1.0,1.0
